sample_rate,frame_size,case,baseline_ola_coherence,ledger_ola_coherence,phase_reset_pressure_rad,owner_reassignments_per_s,oracle_collision_fraction,reliable_phase_coverage,output_gain_db,unclamped_output_gain_db
48000,128,clean_vowel_7_6,0.32091642214815236,1.0,0.5320105908696587,3622.222222222222,0.5294117647058824,0.0,6.649917777384581,6.649917777384581
48000,128,breathy_vowel_19edo,0.16764024018902304,1.0,1.5459095789345338,8726.666666666666,0.588235294117647,0.0,6.127849841571193,6.127849841571193
48000,128,consonant_vowel,0.33341447742821073,1.0,2.24742952678895,2922.222222222222,0.48717948717948717,0.0,7.958800173440752,8.044392675372091
48000,128,vibrato_19edo,0.37527321215562887,1.0,0.3772370940311749,2677.777777777778,0.5087493821057835,0.0,7.399528414932453,7.399528414932453
48000,128,missing_fundamental,0.24135870129956946,1.0,0.5777388942667147,2155.5555555555557,0.7394957983193278,0.0,7.958800173440752,8.029550917465166
48000,128,two_voice_polyphony,0.1691044241288177,1.0,0.7512619825934859,1375.5555555555554,0.7297297297297296,0.0,7.480009796928422,7.480009796928422
48000,128,aperiodic_air,1.0,1.0,0.0,0.0,0.5126050420168067,0.0,0.021424359325601945,0.021424359325601945
48000,256,clean_vowel_7_6,0.6149668033613694,1.0,1.6338273207438367,2900.0,0.058333333333333355,0.9656345493659515,3.9493454748942187,3.9493454748942187
48000,256,breathy_vowel_19edo,0.44020234174191386,1.0,1.5610966128360702,11302.222222222223,0.17500000000000004,0.9382625626906372,4.399294483712014,4.399294483712014
48000,256,consonant_vowel,0.5566230022776723,1.0,2.0868802405541693,2382.222222222222,0.0,0.9452234971418554,2.3974636660118467,2.3974636660118467
48000,256,vibrato_19edo,0.3599797262973924,1.0,0.6819589436872859,2502.222222222222,0.026340155945419108,0.9124306677681556,3.1555912442063434,3.1555912442063434
48000,256,missing_fundamental,0.3577077912680744,1.0,0.6820490782540523,3440.0,0.48739495798319327,0.0,6.81887110428171,6.81887110428171
48000,256,two_voice_polyphony,0.32690624015250624,1.0,1.6275442201376247,2311.111111111111,0.47982062780269075,0.4898455168534854,5.605807789847218,5.605807789847218
48000,256,aperiodic_air,1.0,1.0,0.0,0.0,0.04166666666666662,0.0,0.02184534583082966,0.02184534583082966
48000,512,clean_vowel_7_6,0.927062947998021,1.0,0.06374325345446928,0.0,0.0,0.0,5.315251399843381,5.315251399843381
48000,512,breathy_vowel_19edo,0.5335845364329644,1.0,0.5283425372121842,3664.4444444444443,0.0,0.001652609723136859,4.727771505892781,4.727771505892781
48000,512,consonant_vowel,0.8000407081651997,1.0,2.353598356272888,208.88888888888889,0.0,0.0,5.933967950076653,5.933967950076653
48000,512,vibrato_19edo,0.8577660581928653,1.0,0.21051010814997043,548.8888888888889,0.0,0.0,4.370890424156056,4.370890424156056
48000,512,missing_fundamental,0.664873700980622,1.0,1.1713419774859506,2160.0,0.0,0.9400974665908678,2.528506432820814,2.528506432820814
48000,512,two_voice_polyphony,0.6344757975316985,1.0,0.5227120751441544,642.2222222222222,0.25560538116591924,0.11135835292017028,7.5959993875199565,7.5959993875199565
48000,512,aperiodic_air,1.0,1.0,0.0,0.0,0.0,0.0,0.02206102482079763,0.02206102482079763
